fil_1: greenwich council; certified platinum; scheduled castes; outdoor clay courts; loved ones; 
fil_1789: appointed a companion of the order; appointed a companion; indian civil service; companion of the order; roger williams national memorial; 
fil_179: relative ease; mass spectrometry; placed out of commission; sodium compounds; sixteen cards; 
fil_1790: silver blades; sworn in as prime; sugar plantations; kill his own brother; instant coffee; 
fil_1791: island of luzon; married three times; heavy tribute imposed; final assault; alaska anchorage; 
fil_1792: judith lorber; historic monument; us and canada; avid reader; romantically involved; 
fil_1793: biogeochemical cycles and ecosystems; biogeochemical cycles; points of interest; infinite earths; fight against terrorism; 
fil_1794: stafford cripps; cochlear implants; use of english lutheran missions; ramesses iii; live eviction; 
fil_1795: ä€rya samäj; sanatan dharm; rival organization; thq announced; located in the southern part; 
fil_1796: claimed off waivers; oriya language poet; come live with me; aggregate score; incomplete list of statutory; 
fil_1797: factors such as not fitting; 1979 to 1984; prabhat kalavidaru; gopinath dasa; badmaash's pieces; 
fil_1798: st andrews; synchronised swimming; aquatics championships; break away; fourth woman to win; 
fil_1799: velike laå¡äe; reprised their roles; traditional region of lower carniola; carniola and is now included; traditional region; 
fil_18: josã© padilla; released in april 2007; widespread use; castellã³ d'empãºries; band's third album; 
fil_180: technical departments; writer's block; provisional irish republican; wilsons promontory; coastal plain; 
fil_1800: steroid hormones; bond between carbons; higher quality; terry reid; reasonable choice; 
fil_1801: excursion trains; reduce the number; runner/wile e; cartoons short; cotton trade; 
fil_1803: antidoping laboratory; full complement; indoor skate; spanish navy; operatic career; 
fil_1805: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_1806: rennweg gate; regular water supply; latrine with regular water supply; latrine with regular; political upheaval; 
fil_1807: bulk of his estate; sakha republic; mullah krekar; imk job; nbc news; 
fil_1808: cheryl cox; wedding present; almost impossible; abnormal psychology; detroit red wings; 
fil_181: size of the strike zone; newell wardle; mainframe computers; james kinney; doolittle raid; 
fil_1813: kf poliã§ani; gold glove; osamu higashio; composer in residence; 14thâ century; 
fil_1814: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_1816: petricolic soils; suitable habitat; lower elevations; simon's town museum; gannicus and castus; 
fil_1817: absorption of light; sharp wit; provisional designation; six wives; date of issue; 
fil_1818: partially blinded; coordinated efforts; publius septimius aper; consul suffectus; walks of life; 
fil_1819: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_1820: heavily praised; convergent culture; coniferous trees; fabrizio miccoli; australian sporting history; 
fil_1821: jubilee wood; floating campus; contest the electorate; summer palace; 1 2 3; 
fil_1823: 8th earl; reba mcentire; van nuys; bequeathed much; best course of action; 
fil_1826: autoimmune diseases; development and commercialization; born february 2; primarily used for baseball; elected member of parliament; 
fil_1827: ml/kg diluent; intravenous acetylcysteine; tukang karuts; dikir barat; ratification of the treaty; 
fil_1828: word is shown; speciality shops; tour of southland; marxist terms; detroit pistons; 
fil_1829: venezuelans live; organic chemistry; link will display the full calendar; link will display; display the full calendar; 
fil_1830: canton of fribourg; obligatory lower secondary; students may choose; mary's robe; death and legacy; 
fil_1833: sterling area disintegrates; ramon y cajal; involuntary churn; voluntary churn; friday prayer; 
fil_1834: straight to amy; perfect master; according to meher baba; phone calls; golden eagle; 
fil_1836: traditionally catholic countries; securities and exchange commission; exchange commission; recalled to active duty; post office with zip; 
fil_1837: times of ceylon; silva was sacked; shawn chrystopher; undergone major changes; art school of iceland; 
fil_1838: free kick; similar manner; old trafford; mark the occasion; herds of animals; 
fil_1839: residence hall; onnum ridge; top of the charts; won the favours; moth of the noctuidae; 
fil_184: och domsjã¶; it's arbor day; carl kempe; litter sizes; operated by london midland; 
fil_1840: pasqual valley; acquired citizenship; almost a quarter; tamil nadu legislative assembly; northern mallee; 
fil_1841: species of orchid in the genus; orchid in the genus; fiba oceania; screened in the un certain regard; happy days; 
fil_1842: joint exercises; naga legends; lake chinni; suez canal; indigenous peoples of the americas; 
fil_1845: tagalog wikipedia; dáº§u tiáº¿ng; relative ease; worked as a research fellow; throughout their high school career; 
fil_1847: 14th and 15th; located in the heart; south porch; jã¶rg kienzle; album is dedicated; 
fil_185: 1 august 1921; taken to hospital; 100th anniversary; voice actor; costa rica; 
fil_1850: notable alumni; pandora boxx; melic composition; serbian empire; recording new material; 
fil_1851: maurizio ganz; mls superdraft; marie curie; 17 january 2011; alsace region; 
fil_1852: actor in a supporting; traction engines; stationary steam engines; natalie portman; screen actors guild; 
fil_1853: voltage standing across; theoretical maximum efficiency; scored 42 points; roots of unity; heat would be dissipated; 
fil_1854: remainder of his career; affectionately known; escaped and fled; further reduction; town was gazetted; 
fil_1855: sound masking; chamber musician; anny duperey; marine corps brigadier; metropolitan community churches; 
fil_1856: worldwide and 3 species which occur; worldwide and 3 species; wet nursing; rainfall in the range; players advisory council; 
fil_1857: referee academy manager; metlife said; aviva premiership; overwhelming majority; 48â kg; 
fil_1858: jawed ludin; vitamin d3; found on the ground; adapted from discogs; church of the ascension; 
fil_1859: jacksonville jaguars; born february 20; worldwide and 3 species which occur; worldwide and 3 species; wet nursing; 
fil_186: thomas heyward; neurological diseases; bob fontaine; yoruba land; royal academy of arts; 
fil_1860: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_1861: usm haller; ulrich schaerer; sanata dharma; warp drive; progression of world record improvements; 
fil_1867: roc embassy; alchemical vessel; kiwi sheepherders; awa southern tag team championship; awa southern tag; 
fil_1869: swedish football club located; peter debruge; picadilly star; riparian habitats; tricountry points; 
fil_187: loewner differential equation; galapagos islands; paul peterson; tretyakov gallery; outer rim; 
fil_1871: sojas rud; zanjan province; vast majority; takako's scenario; men's handball championship; 
fil_1872: set of songs; population of the commune; lick observatory; it's hard; angular momentum; 
fil_1874: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_1875: nation of merchants; lemon drops; boston globe/horn; body whorl; transferred from skjervã¸y to nordreisa; 
fil_1877: stadt zã¼rich; athletic trainers; surgery can be performed; latino of any race; hispanic or latino of any race; 
fil_1878: 40th anniversary; thylakoid membrane; revenue cutter; kawasaki frontale; irian jaya; 
fil_188: transsexuals or homosexuals; ganapati utsav; background and context; born 11 february 1979; taught at harvard; 
fil_1880: distinctive form; locarno international film festival; tendon sheath; ð ð¤; ï† centauri; 
fil_1882: reliant stadium; age of 21; glacial ice; scored one goal; teams were invited to participate; 
fil_1883: well as comparative religion; comparative religion; festive occasions; heal wounds; drapery business; 
fil_1884: distichously arranged; vocal abilities; built in 1938; monetary union; renewable water resources; 
fil_1886: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_1887: monk of jumiã¨ges; bishop of winchester; loved ones; bmw e63/e64; bmw e60; 
fil_1892: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_1893: spratly islands; bani zeid; stone temple pilots; douglas mawson; stevie wonder; 
fil_1897: washburn law; studentâ€“teacher ratio; founded in 1903; passengers travelling; academy of trial lawyers; 
fil_1898: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_1899: australian imperial force; worked as a clerk; 1914 and 1919; awarded the military cross; amphibious landing; 
fil_19: äá»“ng nai; save percentage; báº¯c giang; helped organize; technical communicators; 
fil_190: support of the album; remainder of his life; front face; member of the wisconsin state assembly; compound eyes; 
fil_1902: population has grown at a rate; grown at a rate; cannes film festival; castellã³ d'empãºries; meat dishes; 
fil_1903: phil beer; increasing rapidly; dining hall; ncaa division i fcs; locker rooms; 
fil_1904: 4th century bc; negative connotation; darfur region of sudan; darfur region; taiping rebellion; 
fil_191: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_1911: born november 4; village in the municipality; defensive lineman; uncontacted tribes; alumni representatives; 
fil_1912: white bikini; ursula andress; end of 1992; magic tricks; civil rights movement; 
fil_1913: genie award; honorary doctor; walking sticks; shapes and sizes; different shapes; 
fil_1914: born november 12; competed for his native country; bernie kosar; village in croatia; elected chairman; 
fil_1915: upper deck; chili peppers; 2007 and 2008; ð ð¤; ï† centauri; 
fil_1916: 2011 federal election; laid out the gardens; impossible to determine; sharif husayn; je suis; 
fil_1917: education and science; teams were invited to participate; madonna with child; starters by position; edition of the giro d'italia; 
fil_1918: petricolic soils; suitable habitat; balkan mountains; 4th century bc; negative connotation; 
fil_1919: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_192: flowering plants in the rubiaceae; lower their gaze and be modest; lower their gaze; gaze and be modest; cox's bazar; 
fil_1925: sivaji ganesan; band's third studio; kamal haasan; bromwich albion; fame and museum; 
fil_1926: inhabited localities; gmina covers; 2006 its total population; thomas heyward; neurological diseases; 
fil_1927: romans had left; mark ix; lopez dancing; lasers flashing; hit a standing man; 
fil_1930: administrator of the see; aids epidemic; hiv infection; josã© roberto manesco; floriano de azevedo marques neto; 
fil_1934: preserves fossils dating; ordovician period; geologic formation; transsexuals or homosexuals; ganapati utsav; 
fil_1936: golkar chairman; 1977 general elections; al wasl; 110th congress; won the favours; 
fil_1937: municipality is now included; historical region of lower carniola; southeastern slovenia; southeast slovenia statistical; included in the southeast slovenia statistical; 
fil_1938: luke castillo; krasnaya polyana; central uganda; tracy jordan; tina fey; 
fil_194: autocommit mode; tip of the iceberg; association of intercollegiate athletics; position in both polls; ap poll; 
fil_1941: tvbs news; half was remodeled; republic of china presidential election; foreign direct investment; papyrus oxyrhynchus; 
fil_1942: 8th engineer regiment; seeded 1â€“8; nfl adopted; eight teams from each conference; conference were seeded 1â€“8; 
fil_1944: completely forgot; beetle in the family cerambycidae; species of beetle; ð ð¤; ï† centauri; 
fil_1945: gastropod mollusc; species is endemic; jessica mauboy; horseback riding; french polynesia; 
fil_1948: ernest hemingway; patrick o'brian; order isomorphism; whale baleen; soho house club; 
fil_195: sermeh embroidery; safavid dynasty; sheikh abdullah; twice flowing; scrimshaw and margaret; 
fil_1950: autoimmune diseases; development and commercialization; born february 2; elected member of parliament; route description; 
fil_1951: procedural due process; fair procedure; wartime experiences; settlement has a population; cutaneous condition characterized; 
fil_1952: rating on rotten tomatoes; snider and youle; swaps of notional; notional value; interest rate swaps of notional; 
fil_1953: faustian ideal; azn pride; acro dance; ray charles; eric burdon; 
fil_1954: notes in neumes consisting; notes have duration values; neumes consisting of at least; neume elements that represent; least two notes have duration values; 
fil_1955: securities and exchange commission; exchange commission; posthumously awarded; recalled to active duty; those responsible; 
fil_1956: annie besant; working pressure; slovakia and hungary; boilers had a working pressure; authorized sale; 
fil_1957: luke and mara; basic state pension; qualifying years for a full basic; get any state pension; complexity classes; 
fil_1958: shaun udal; hosts agree; scalar function; hazardous materials; island of koräula; 
fil_196: newspapers and periodicals; meaning of the word; republican revolution; increasing the number; sluice gate; 
fil_1961: helgakviã°a hundingsbana; don't know how; low prices; infinite number; certificate programs; 
fil_1962: upper limb; surfer rosa; skill of the welder; sjã¶gren's syndrome; lacrimal glands; 
fil_1965: primarily used for baseball; upon graduation; lower levels; saratoga springs; july 1815; 
fil_1966: ï† centauri; hã²a háº£o; bike racer; surfers paradise; hawa bhaban; 
fil_1968: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_1969: articles about the subject; sworn in as prime; sugar plantations; kill his own brother; instant coffee; 
fil_197: worked as a research fellow; throughout their high school career; india ltd; objectives resolution; presence or absence; 
fil_1970: unsuccessful candidate; chicago bears; sparsely populated; promotional single from the album; seattle seahawks; 
fil_1971: 1991 under the leadership; landslide victory; phaseâ€“gate model; sri lankan; necessary resources; 
fil_1972: nicolas andrade; li zongmin; andreas dehn; amazing bud powell; battle of new orleans; 
fil_1973: paper and pencil; institutions abroad; finite number; concertgebouw in amsterdam; harry potter; 
fil_1974: lyme regis; canadian house of commons; main component; red tape; taken into account; 
fil_1977: scuola normale superiore di pisa; scuola normale superiore; degassing chamber; bradford street; winning a scholarship; 
fil_1978: push daggers; vinny testaverde; act 41; kyles athletic; veterans stadium; 
fil_1979: notes in neumes consisting; notes have duration values; neumes consisting of at least; neumes consisting; neume elements that represent; 
fil_1980: rest of her life; arrigo boito; quite fragile; mobile phones; next few months; 
fil_1985: very young age; bank deposits; conjunctive query; seems most likely; hot 100 singles chart; 
fil_1988: love magnet; mid 1970s; tv episodes; logging industry; hits his head; 
fil_199: maximum magnitude; forensic sciences; boys brigade; expert witness; basic rights; 
fil_1991: big state league; went to the aid; man tt races; isle of man tt; 2008 isle; 
fil_1997: darfur region of sudan; darfur region; butler road; red maple; 30 years of experience; 
fil_1998: oak trees; alabama and florida; killed or wounded; burial chamber; natwest trophy; 
fil_2: gene's father; diamond interchange; cowboy defender; oak trees; alabama and florida; 
fil_20: ã“gra shinn; youth wing; immediate release; positively identified; indemnity insurance; 
fil_200: moth of the elachistidae; bill lamb; äá»“ng nai; save percentage; báº¯c giang; 
fil_2000: rural gardens; madam indira gandhi; intermittent freshwater marshes; heavily degraded; habitat is subtropical; 
fil_2002: 2ã—2 positive definite; riemannian metric; planet earth; earth's surface; topological space; 
fil_2007: works for marimba; rocky faced ridge; rich o'meara; buzzard's roost; bull run river watershed; 
fil_201: 1 2 3; important trading centre; knowledge and experience; ensuing years; number of clubs; 
fil_2010: azerbaijan and greece; history of the jews; baseman in major league baseball; promotion for the single; uk charts; 
fil_2012: overall winner; wreak havoc; reliant stadium; age of 21; glacial ice; 
fil_2013: science in pakistan; challenge divisions; acc trophy; physics and mathematics; avid supporter; 
fil_2015: direct competition; academic appointments; northern alberta; germany and italy; royal yacht; 
fil_2019: treasure island ave; skaters representing; sanda fighters; porte des lilas; highway in thailand; 
fil_202: peng shuai; open era; marã­a josã© martã­nez sã¡nchez; ralph abercromby; losing in the quarterfinals; 
fil_2021: passenger services were extended; extended to mitake; line was converted; participated actively; border security; 
fil_2025: private matter; ying hu; wenxian zhang; sai jinhua; kalvebod brygge; 
fil_2027: statistical conclusions; indemnity insurance; species of frog in the leptodactylidae; päyu tattva; frog in the leptodactylidae; 
fil_2029: stan laurel; species of frog in the hylidae; lichuan in hubei; frog in the hylidae; partially blinded; 
fil_203: hasil adkins; initial development; japanese versions; communist regime; carriers by 2014; 
fil_2030: moist lowland forests and subtropical; highly unlikely; further understand; civil engineers; central and south america; 
fil_2031: designed the lenses; design of the ride; instrumental in persuading; won a cap; dwight eisenhower; 
fil_2032: species of frog in the leptodactylidae; päyu tattva; frog in the leptodactylidae; threatened by habitat loss; vinny testaverde; 
fil_2034: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2036: arlington national cemetery; thelma ritter; invited to join; 10th place; motion picture arts and sciences; 
fil_2038: highly unlikely; further understand; madam indira gandhi; intermittent freshwater marshes; heavily degraded; 
fil_204: alba longa; newly appointed director; diversity visa lottery; sultanate of sulu; traditional homeland; 
fil_2040: synchronised swimming; aquatics championships; break away; bundesliga debut; fine art trade guild; 
fil_2041: institute of arts and letters; arts and letters; pulitzer prize; karor lal esan; bloomfield hills; 
fil_2042: 100m and 200m; township of plummer; tomato paste; plummer additional; mond nickel; 
fil_2044: rancho remembers; hank williams iii; asleep at the wheel; jerry lee lewis; height of her career; 
fil_2045: win the heisman trophy; santa ana; founded in 2007; ð ð¤; ï† centauri; 
fil_2047: dumping ground; get rid; 1484 by richard iii; richard iii; neon tube lighting; 
fil_2048: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_205: moved to naples; 6 may 1982; magic carpet; lafayette theatre; nasa 802; 
fil_2050: volumetric capacity; masconomet regional; taxes and duties; perhaps the best known; published by penguin books; 
fil_2052: uk national newspaper; sparkling wine; tenors and basses; entire page; count basie; 
fil_2054: wayne burnett; summer heat; 4 draws; traced back; retired in 2004; 
fil_2055: ibn sina; azerbaijan and greece; history of the jews; baseman in major league baseball; promotion for the single; 
fil_2057: month of april; bernadette peters; ð ð¤; ï† centauri; î– plus a1; 
fil_2059: madonna with child; starters by position; teams were invited to participate; invited to participate; overall winner; 
fil_206: born march 9; central and eastern europe; tommy kã¶rberg; water supplies; francis poulenc; 
fil_2060: religious purposes; bald eagles; jesuit order; official emblem; pots and pans; 
fil_2062: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2064: intervention in libya; libyan civil war; medical malpractice; order of santiago; william's supporters; 
fil_2065: åšroda åšlä…ska; merril jessop; instructor of accordion; born july 4; seat is the village; 
fil_2066: acrobatic jumps; seen in a google map; longitude coordinates; locations of national register properties; intended to be a complete list; 
fil_2069: business interests; northern shores; jackie gleason; filming location; village in vas; 
fil_207: 1 2 3; word is shown; speciality shops; marxist terms; table illustrates; 
fil_2070: cosmic puffin; literary criticism; fact and fiction; king henry iv; king's bench; 
fil_2071: thousand nights and a night; thousand nights; pows and disarmed; disarmed enemy; case of an eclipse; 
fil_2072: street corner symphony; geological survey antarctic expedition; animated sitcom; book of the week; theory and practice; 
fil_2073: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2074: habitats are subtropical; moist montane; subtropical or tropical moist montane; moist lowland forests; moist lowland forests and subtropical; 
fil_2076: inagua national park; opened its doors; speech impediment; black and gold; brink of extinction; 
fil_208: widely criticized; apple inc; comprehensive immigration reform; eddie harris; outbreak of the first world war; 
fil_2080: sound relief; raising money; 14 march 2009; operation iraqi freedom; sensitive but unclassified; 
fil_2081: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2082: lexical entries; positive image; desperate need; paper tiger inc; possession of the ball; 
fil_2083: te waimate; authorise you; reduce the risk; canons regular; ko in the first round; 
fil_2086: according to reports; death sentence; seriously wounded; representatives of cavite; corrosion cracking; 
fil_2087: drug policy foundation; drug policy alliance; legal access; college of biosciences; science in biomedical sciences; 
fil_2092: bitterly cold; north col; mallory and somervell; khullak road; devastating fire; 
fil_2093: finnish horse; continental scholarship; harvard school of public health; weber stake; charlie brown's; 
fil_2094: tea party movement; samir arora; la valette; we need to learn; tony kelly; 
fil_2095: historic monument; philosophy at the university of warsaw; spent one year; late 1980s; mycology and forest pathology; 
fil_2097: locker rooms; village and municipality; sanctuary and chapels; rational animal; accepts that the soul; 
fil_21: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2100: john's icecaps; chandrika kumarathungaâ€™s; official announcement; newfoundland and labrador; japanese cormorants; 
fil_2107: i've got a secret; italian socialist party; hour clearing; sharply criticized; hungarian revolution; 
fil_2110: species of frog in the leptodactylidae; päyu tattva; frog in the leptodactylidae; species of frog; natural habitats; 
fil_2113: moist lowland forests; moist lowland forests and subtropical; further understand; highly unlikely; rural gardens; 
fil_2119: born june 2; civil engineers; central and south america; threatened by habitat loss; habitats are subtropical; 
fil_212: southwest cross; shared 1st at gyå‘r; cox's vision; marriage and death; bart fargo; 
fil_2120: monkey island; westbound platform; promotional material; setting the stage; sonic youth; 
fil_2121: rules footballer who played with carlton; carlton in the victorian; closely monitored; yoruba land; laws and bachelor; 
fil_2125: edward jerningham; album was certified gold; gerald strickland; late night television; david letterman; 
fil_2127: neon tube lighting; anchor tenant; light emitted; edgar allan poe; tail biting; 
fil_2128: right of access; requests to see; sweden in 1991; police custody; conducted local operations; 
fil_2129: officer commanding; venezuelans live; organic chemistry; link will display the full calendar; link will display; 
fil_213: compact internal symmetry; quantum field theory; office of the indiana attorney; northern district of indiana; law in 1969; 
fil_2132: storm shelter; ef4 intensity; ef3 damage; adam hansen; hind leg; 
fil_2133: pea soup; dreicer explores; fundamental ideas; thick and heavy; sergio ferrara and peter van nieuwenhuizen; 
fil_2134: el dorado; winning the championship; unsuccessful in winning the championship; unsuccessful in winning; empire state wrestling; 
fil_2136: accepted a position; 153 households; 1990 to 2000; eastern edge; lord jagannath; 
fil_2137: fluidic layer; aqueous solution; valve to regulate; california state assembly; kurdistan province; 
fil_2138: win the heisman trophy; served on an advisory; santa ana; ð ð¤; ï† centauri; 
fil_2139: warming by the devil's; nat turner; endesha ida mae; devil's fire; ottawa senators; 
fil_214: rainbow for girls; order of the rainbow for girls; order of the rainbow; island of luzon; badly damaged; 
fil_2140: king's inn; 3rd son; 5 feet; katy perry's; practicing attorney; 
fil_2141: clean water act; bed bugs; christian apologist; anglican priest; hydraulic fracturing; 
fil_2144: stable isotopes; tarot de marseille; irish mythology; obtained a degree; february and march; 
fil_2146: according to the 2004 census; solo career; fort randolph; integrative medicine; upstream and downstream; 
fil_2149: according to the 2004 census; solo career; kf poliã§ani; gold glove; osamu higashio; 
fil_215: athens formed; devout catholic; 240 households; boxer rebellion; cape verde; 
fil_2156: fallen in love; kf poliã§ani; gold glove; osamu higashio; 14thâ century; 
fil_2158: village and municipality; 3/4â inch; 1â inch; higher elevations; passive harmonisation; 
fil_2159: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_216: 1884 â€“ 25; lights are turned; monks left; vosges department in lorraine in northeastern; vosges department in lorraine; 
fil_2162: leonard shure; key figure; zimbabwe rhodesia; rugby and stafford; lord soames; 
fil_2164: landslide victory; 1991 under the leadership; documenting the lives; composition of the council; keen interest; 
fil_2165: 4th century bc; negative connotation; 25 january 2012; raise awareness; qu qiubai; 
fil_2167: stirling albion; loan spell; permanent basis; blessed virgin mary; inverness caledonian thistle; 
fil_217: java sea; biotechnology company based; chinese boxing; barber shop; 31 december 2006; 
fil_2170: suburb to the west; record for most wins; neighbouring village; queen victoria; end of world war ii; 
fil_2172: game boy version; barbara stanwyck; game progresses; record store day; dickie dare; 
fil_2177: late show with david letterman; lyon hall; wibi soerjadi; computer networking; successfully defend; 
fil_2179: 47 workshop; scoring once; went platinum; fame in 1994; uncle bud; 
fil_218: rossall hall; one's state of consciousness; rendered useless; baronetage of the united kingdom; title became extinct; 
fil_2180: dolly parton; historic home located; association of basketball coaches; le verrier; listed buildings or sites; 
fil_2183: trade paperback; liberian mercenaries; buenos aires have some degree; very small sea snail; species of very small sea snail; 
fil_2187: gse preparations; grapefruit seeds; antimicrobial effect; muscular dystrophy; ethyl alcohol; 
fil_219: practiced medicine; social justice issues; 1959 to 1961; released on october 24; jive records; 
fil_2190: adomas mickeviäius; lathe turned pillars; population was 61; approximately six minutes; kidane mihret; 
fil_2192: protein isoforms; intron 5; duke of albany; charter of the duke of albany; charter of the duke; 
fil_2194: polynesian languages; angelica creek; archipelago of the azores; judge carro; historical population is given; 
fil_2195: social justice issues; arctic circle; 1959 to 1961; queen victoria; refer to the following places; 
fil_2196: walled gardens; aloha stadium; vinny testaverde; virtually impossible; last playoff meeting; 
fil_2197: group's name; seigneur of sark; fort stotsenburg; honey bee; asian markets; 
fil_2199: old sorrel; louisiana state university in baton rouge; producer and director; reduced to begging; officially inaugurated; 
fil_220: 3â€“1 victory; alumnus adviser; advisory boards; stirling albion; loan spell; 
fil_2203: drug policy foundation; drug policy alliance; legal access; dr congo; 3â€“1 win; 
fil_2204: ancient theatre; end of the game; prelate of the roman catholic; monnaie in brussels; la monnaie; 
fil_2205: video game developer; episode was directed; xbox 360 and playstation; teutonic order; fallen in love; 
fil_2207: 70s and 80s; fourteen townships; sheep and cattle; located in the northwestern part; northwestern part; 
fil_2208: lantern lois; blackest night; trailblazer award; ole opry; often accompanied; 
fil_2209: israeli declaration; reviews from mainstream critics; 100 to reviews from mainstream critics; 100 to reviews; average rating; 
fil_221: usual sense; 16th to 18th centuries; republican politician; rockefeller foundation; old sorrel; 
fil_2212: ya se; reformed congregations in the netherlands; reformed congregations; da dong; liu bei; 
fil_2213: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2216: association of basketball coaches; wellington road; transited the panama; 1860s and 1870s; returned to pearl harbor; 
fil_2217: townsquare media; modern physics; nizhny novgorod; religious belief; inhabited localities; 
fil_222: past several years; luis obispo; generally positive reviews from music critics; found in costa rica; spatial file manager; 
fil_2220: station is currently owned; trunk diameter; geography and climate; species of praying mantis; praying mantis in the genus; 
fil_2221: majesty queen elizabeth; fallen into disuse; nasa 802; entered witness protection; device performance; 
fil_2222: say it right; fourth floor; record was broken; elect members; wilsons promontory; 
fil_2223: formal languages; flag of the united states; stop pulse; romain maes; frans schartaus; 
fil_2224: short refit; rajiv gandhi; nizhny novgorod; inhabited localities; tvbs news; 
fil_2226: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2227: iso 14698; frank wisnovsky; cabernet sauvignon; pinot noir; willamette valley; 
fil_2228: average density; census of 2000; population density; racial makeup of the township; states census bureau; 
fil_2230: west coasts; east and west coasts; telemarketing firms; predictive dialers; jewish grandparents; 
fil_2232: tulane green wave; mollusk in the family raphitomidae; gastropod mollusk in the family turridae; usc trojans; enzyme that catalyzes; 
fil_2234: 9th earl; end of the 18th century; marylebone cricket; eton college; educated at eton; 
fil_2236: indian civil service; appointed a companion of the order; appointed a companion; companion of the order; assistant secretary; 
fil_2238: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_224: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2241: connecticut river valley; west suffield mountain; biological processes; redemptive suffering; maintenance plan; 
fil_2246: punk rock jesus; thinking fellers; located about northwest; autumn of 2010; born may 6; 
fil_2247: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2248: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_2252: town was gazetted; santa elena; sony music entertainment; border crossings; male householder with no wife present; 
fil_2253: la jolla; parkinson's disease; better world insurance; increase the risk; åšwiä™tokrzyskie voivodeship; 
fil_2254: connecticut river valley; west suffield mountain; biological processes; went for a walk; bret hart; 
fil_2256: northbound local track; inverted files; hittite empire; estates theatre; department of defence; 
fil_226: substantially different; nascar whelen; chairman of the joint chiefs; front wheels; born in philadelphia; 
fil_2262: recombinational repair; enzyme that in humans is encoded; enzyme that in humans; leave the band in 2012; band in 2012; 
fil_2263: substantive rank; bundesliga debut; confederate capital; fine art trade guild; sister ships; 
fil_2265: name of several inhabited localities; inhabited localities in russia; tenpin bowling; chapel of ease; assigned to command; 
fil_2266: dronning maud; bent on destroying; burned and sank; never officially released; abandon ship; 
fil_2267: sister ships; bermuda hundred; ulysses s; round of the playoffs; triangle inequality; 
fil_2268: protein isoforms; intron 5; duke of albany; charter of the duke of albany; charter of the duke; 
fil_2269: royal swedish academy; 39 games; cã´te d'ivoire; private university located; severe preeclampsia; 
fil_227: dissolution of the assembly; archaeological excavations; deities are taken; posts and telecommunications; hotly contested; 
fil_2270: stay up to date; rushed for 143; 143 yards; record store day; widely criticized; 
fil_2272: big state league; heir presumptive; coming months; october revolution; abandon ship; 
fil_2275: republican politician; health sciences; associate director; magna cum laude; substantially different; 
fil_2276: bart fargo; otakar ii of bohemia; developed countries; primarily used for baseball; go on vacation; 
fil_2279: end of season 3; election summaries; deities are taken; hotly contested; united states is part; 
fil_2282: sister maria pierina; soldiers and sailors; score a goal; successfully converted; lance cpl; 
